name,Mean Parental Income,Median Parental Income,Mean Child Earnings,Median Child Earnings,Mean Kid Earnings (non-zero)
Columbia State Community College,82924.71683,74300,32054.22778,28800,32500
Columbia University In The City Of New York,372277.2722,169600,128030.6852,75300,82200
Columbus College Of Art & Design,102307.4672,81800,38153.33869,32500,35800
Columbus State Community College,89415.25685,72400,33542.85904,30500,33800
Columbus State University,89221.06939,72600,37072.40711,35400,38800
Columbus Technical College,57362.82585,41500,25630.06428,23000,25900
Community College Of Allegheny County,78478.31131,66100,31723.28623,28100,33000
Community College Of Baltimore County,90746.70084,71600,36410.03438,32700,37600
Community College Of Beaver County,76014.93702,68500,36907.85389,28800,32200
Community College Of Philadelphia,56646.52372,43600,31160.75279,27900,33000
Community College Of Rhode Island,74518.00587,64600,31515.66462,28600,33100
Concord University,75027.8998,66800,35334.11635,31800,35100
Concordia College - Moorhead,118527.4562,86400,53204.40891,45600,47600
Concordia University - Saint Paul,92246.76324,77900,44329.8267,39900,42100
Concordia University - Wisconsin,92678.25979,79300,40217.2276,38600,41200
Concordia University Texas,112917.8784,91300,50690.25397,40400,43500
"Concordia University of Irvine, CA",131138.3081,94000,44780.79943,39600,45200
"Concordia University of Portland, OR",102064.7883,88400,41392.69247,41700,44400
"Concordia University of River Forest, IL",98720.00335,86300,37691.89544,35100,40100
"Concordia University of Seward, NE",86492.41058,75500,40552.95713,36500,38300
Connecticut College,417732.294,170500,66137.83048,55500,59200
Connors State College,56276.33401,49000,31805.15215,27300,31400
Conservatory Of Recording Arts & Sciences,95241.24874,76800,35198.23177,38200,43600
Contra Costa Community College District,108743.3619,85400,38786.84562,32900,40000
Converse College,122906.4332,93000,33228.20434,32700,35700
Cooper Union For The Advancement Of Science & Art ,143460.5724,110100,81825.16795,64300,73100
Copiah-Lincoln Community College,55632.91007,41400,33770.67152,26900,32100
Copper Mountain College,67192.23507,50100,31708.20902,27100,34600
Corban University,106438.4746,79000,34937.88333,32200,36900
Cornell College,117782.6181,91800,48572.99785,45500,50500
Cornell University,279239.9712,143300,117283.2229,79800,86300
Cornerstone University,115400.1175,84200,32566.76951,29400,35500
Corning Community College - SUNY Office Of Community Colleges,74179.11331,65200,32507.85428,30500,34800
Cornish College Of The Arts,151934.4404,89700,31530.49797,25000,26700
Cossatot Community College Of The University Of Arkansas,51799.03026,40800,26373.16173,22200,26200
County College Of Morris,117864.2665,101100,41872.40412,35700,41000
Covenant College,146452.9559,86400,40133.46132,32300,38500
Cowley County Community College & Area Vocational Technical Schoo,78036.83514,75300,32175.92023,28800,33000
Coyne College,57621.94106,44200,33370.79858,31400,35200
Craven Community College,64038.11858,57200,34170.79788,29600,34900
Creighton University,184670.7788,119200,68909.06022,57200,60400
Crimson Technical College,47183.26102,44700,41296.77343,37600,42800
Crowder College,58819.77192,51100,27835.52696,24600,28000
Crown College,82883.52274,73500,33772.62474,30000,36100
Cuesta College,107517.4889,79900,38964.53006,31000,38100
Culinary Institute Of America,137637.939,102800,44433.13784,41800,45200
Culver-Stockton College,85740.02113,78600,40825.78473,38900,40800
Cumberland County College,69802.91073,59900,35143.95273,32200,36500
Cumberland University,81696.70612,68800,39933.12354,37500,38900
Curry College,167527.834,101600,42157.56096,38800,42400
Cuyahoga Community College,70341.45492,57500,30146.21253,26700,30800
D G Erwin Technical Center,54144.92348,42500,26169.1033,25300,29400
D'Youville College,77711.34281,75800,48269.36362,45200,48600
Dabney S Lancaster Community College,67210.58771,63200,32625.14703,29800,33400
Daemen College,89060.2474,77600,47045.15766,41900,44100
Dakota College At Bottineau,63575.53959,54900,39972.70318,34700,38900
Dallas Baptist University,105931.1373,87000,42985.5319,39500,44200
Dallas County Community College District,81900.61262,59200,35370.99214,32300,36500
Dalton State College,76413.55133,63500,32172.40089,29700,33600
Daniel Webster College,160458.8373,93800,57845.168,50300,56100
Danville Area Community College,69816.33184,61100,31018.85001,28400,31300
Danville Community College,66177.91532,59800,30553.29977,29100,32700
Dartmouth College,469593.629,185500,130760.1009,76600,84200
Darton State College,73677.21855,63200,32792.82612,28800,32100
Davenport University,69110.9432,55800,28433.05553,23400,27600
Davidson College,493919.26,208500,91436.98012,60300,65300
Davidson County Community College,68937.28666,60000,27103.30682,24300,28600
Davis & Elkins College,97471.96683,68000,36134.18436,32700,36000
Davis Applied Technology College,89998.14109,78400,34102.16195,31000,35800
Dawson Community College,61527.72998,58000,37448.07567,31700,32200
Daytona State College,67913.38329,52400,28336.82548,24400,29600
DePauw University,218739.5379,117700,70093.12276,52900,57600
DeSales University,126097.423,98800,57122.10221,51100,53000
Dean College,131190.3213,91400,34798.51497,29800,34200
Defiance College,86515.05263,77900,43479.52534,39900,39900
Del Mar College,64100.71885,52900,35039.78624,30100,34900
Delaware County Community College,96664.11133,80800,36079.98037,32100,37000
Delaware Technical Community College - Owens Campus,78604.88016,64600,31739.5475,30000,33400
"Delaware Technical Community College of Dover, DE",74277.11113,69900,33895.20311,28900,33200
"Delaware Technical Community College of Wilmington, DE",92159.32607,82100,35883.19121,33400,36400
Delaware Valley College Of Science & Agriculture,113197.3328,90700,48578.36965,45100,47200
Delgado Community College,58689.42019,43800,29658.28306,25500,29500
Delta College,83777.15743,75800,32686.78719,29200,33000
Delta State University,79019.68008,71000,42214.99825,37600,39400
Denison University,271317.6226,149300,68293.81632,53700,56800
Depaul University,188629.9128,99900,60865.1857,51300,56300
Des Moines Area Community College,82641.01052,72600,34143.86993,32500,35700
"Devry University, Devry Institute Of Technology And Denver Technical College",70434.77291,56300,45725.65428,40900,44900
Dickinson College,279506.934,136600,67280.73366,55100,58100
Dickinson State University,65513.14383,57800,46727.05917,40700,43900
Digipen Institute Of Technology,117772.3571,95200,88204.5981,76000,80000
Dillard University,55132.93214,42600,40669.71073,36700,40000
Dixie State University,98070.63916,76900,35031.52279,27900,35700
Doane College,102872.5711,76600,51174.44313,45100,47000
Dodge City Community College,58319.4383,48000,34807.95101,29500,33200
Dominican College Of Blauvelt,96784.11004,88900,54790.1346,48900,53000
Dominican University,104994.0624,87300,48531.4685,44300,46900
Dominican University Of California,163987.1139,98100,55005.75203,45200,47800
Dordt College,105026.3015,80500,42434.75988,35400,40600
Dorsey School Of Business,57263.88878,43400,21039.37576,20600,23500
Douglas J Aveda Institute,101865.8569,93600,24965.73734,21400,21400
Dowling College,95406.83613,71500,48724.50429,45800,50000
Drake University,175198.4808,109600,71157.75958,57200,60100
Drew University,253466.6252,140400,66393.15193,55600,58300
Drury University,107483.5263,74400,44646.78139,34000,37900
Duke University,517631.5869,196000,139638.2504,87500,95300
Dunwoody College Of Technology,126602.8824,89100,50832.91369,51600,52600
Duquesne University Of The Holy Spirit,147170.5605,104000,65681.92193,56300,59200
Durham Technical Community College,73778.08323,59700,27136.68143,24500,28500
Dutchess Community College,88697.63165,82900,36703.08627,31900,37500
Dyersburg State Community College,64790.94409,55200,29514.53332,27300,30600
ETI School Of Skilled Trades,86786.75135,63100,41533.84495,37400,45200
Earlham College,156866.5301,99100,38435.46596,33300,36500
East Arkansas Community College,50165.03537,36100,24159.67095,19700,25400
East Carolina University,120568.6082,96000,46837.72667,41200,43700
East Central College,77419.01037,68000,33296.61509,30000,32500
East Central Community College,60647.61007,41600,33805.76703,28000,30700
East Georgia State College,67453.67732,57600,31569.20276,27400,31000
East Mississippi Community College,59939.10207,44900,29430.6356,25200,29000
East Stroudsburg University Of Pennsylvania,100663.2459,85700,45244.85884,43000,46000
East Tennessee State University,92165.12312,75600,39107.45233,33200,36800
East Texas Baptist University,82426.97436,72500,41006.87966,35900,40400
Eastern Arizona College,65886.76933,60900,29821.05723,23800,32600
Eastern College Of Health Vocations,39767.47219,29300,17549.7067,17000,19200
Eastern Connecticut State University,107254.1607,94900,48756.50395,45000,47400
Eastern Florida State College,76959.22588,65300,30151.52497,25700,30500
Eastern Gateway Community College,62850.7721,58100,29012.91535,27100,30000
Eastern Idaho Technical College,69364.40563,59900,35891.74869,27100,31200
Eastern Illinois University,113245.7419,100100,52860.20671,44800,47000
Eastern Iowa Community College District,82501.26661,75600,34088.79009,31400,34600
Eastern Kentucky University,81068.46966,69700,36099.16434,33800,36700
Eastern Mennonite University,109883.7286,90700,44061.41177,39600,40200
Eastern Michigan University,112188.3546,98400,41832.65336,38500,41700
Eastern Nazarene College,96446.74107,81600,40489.18466,34400,38800
Eastern New Mexico University,59703.11171,47200,32131.39089,27500,32800
Eastern Oklahoma State College,58649.67645,45500,34096.37516,30300,33200
Eastern Oregon University,88624.77361,74600,41012.79413,37300,41200
Eastern Shore Community College,48420.48725,35800,27427.84149,24200,27300
Eastern University,138814.893,93900,39321.63662,33300,40100
Eastern Washington University,103225.9922,85900,47043.81114,41700,45400
Eastern Wyoming College,62977.82997,54500,33790.60791,27800,33600
Eckerd College,207860.5682,113100,47981.38433,38800,43400
Ecpi University And Skyline Colleges,64741.90964,53100,33907.00877,30600,33300
Edgecombe Community College,45305.81817,32500,24371.45086,20800,24400
Edgewood College,126379.0122,93300,43739.24437,40500,43900
Edinboro University Of Pennsylvania,83334.27045,74800,35887.35587,34600,36700
Edison State College,88481.85029,61100,32347.94389,29900,33700
Edmonds Community College,97288.68104,84300,38156.14029,34400,40800
El Camino College,70792.21628,51600,33298.01473,28300,34700
El Paso Community College,41655.43214,29200,29878.67898,25700,29800
Elaine P. Nunez Community College,59750.56822,47200,30362.2064,23800,27600
Elgin Community College,101686.9282,91700,37349.82818,34500,38300
Elizabeth City State University,44637.21484,37400,32636.5332,31000,33600
Elizabethtown College,118657.1078,98100,55384.36497,50900,53300
Elmhurst College,134585.6153,100200,51912.81896,48500,51100
Elmira College,126658.8942,91400,47371.37156,47500,47500
Elon University,269743.9892,146000,56824.35237,47300,51000
Embry-Riddle Aeronautical University,121675.0662,92400,68988.29192,65600,68100
Emerson College,219301.8474,120500,53392.92838,44800,49000
Emily Griffith Technical College,57399.9441,50200,31641.87837,26500,32500
"Emmanuel College of Boston, MA",117082.5467,93400,48810.57382,46600,50900
"Emmanuel College of Franklin Springs, GA",76561.14874,67500,31163.47301,29200,34500
Emory & Henry College,99376.02489,84000,45754.21395,40700,42800
Emory University,379558.8261,175700,102596.1808,67800,74700
"Empire Beauty School of Moosic, PA",70031.54609,55300,18084.65304,14500,18800
"Empire Beauty School of New York, NY",68715.57813,43000,17833.28125,12700,17200
"Empire Beauty School of Philadelphia, PA",81230.17929,76000,16431.82662,13200,17500
"Empire Beauty School of Portland, ME",65183.35371,52200,15191.15984,11300,18800
"Empire Beauty School of Somersworth, NH",64785.13438,53500,22676.16434,18800,25200
Emporia State University,88528.54329,80100,40396.89581,37500,39600
Endicott College,164295.7624,108400,50345.36638,47500,48700
Enterprise State Community College,77794.2894,59300,32707.76616,26500,31100
Erie Community College,79686.81533,72400,33811.91746,30900,34600
Erskine College,112021.4494,94700,45827.53444,37400,41200
Essex County College,59459.4754,43000,32515.36683,28400,33200
Eureka College,78117.15265,76500,44909.8382,41300,41500
Evangel University,97468.01507,73800,39296.76674,33200,37700
"Everest Institute of Miami, FL",39944.8051,27700,20685.03364,19200,26800
Everett Community College,87545.77874,82100,35917.67582,32300,38100
Evergreen State College ,169285.843,100200,39377.09533,27000,33500
Fairfield University,270216.2933,151500,87541.56996,69900,74800
Fairleigh Dickinson University,135290.3758,87000,54466.95884,48200,52800
Fashion Institute Of Design & Merchandising,130106.3759,76300,35981.48931,28200,37000
Fashion Institute Of Technology,131569.6545,79800,44520.66074,36700,47200
Faulkner University,77458.80235,63500,31064.80436,26300,32000
Fayetteville State University,52479.57138,41400,31248.67044,28700,31500
Fayetteville Technical Community College,58888.95394,51600,28438.82682,24400,30200
Feather River College,81433.79261,66000,28948.29651,23400,31100
Felician College,90279.75826,73300,41566.63413,40400,44700
Ferris State University,96245.50628,82500,47433.32389,42400,45300
Ferrum College,93533.9499,71100,41360.54792,37000,40000
Finger Lakes Community College - SUNY Office Of Community College,76683.69178,69100,31572.32194,29200,32400
Fisher College,80789.60507,55800,30406.95577,27800,31400
Fitchburg State University,98777.63547,89500,46073.49229,45000,47700
Flagler College,128790.4813,100900,43348.29008,40300,43700
Flathead Valley Community College,65496.9067,55700,29934.28361,26000,29800
Florence - Darlington Technical College,55543.7372,43900,27030.27654,23700,27300
Florida Agricultural & Mechanical University,73603.98865,57000,46411.50677,39300,42300
Florida Atlantic University,121982.2715,77100,45817.91821,40500,44600
Florida College,97335.90249,85500,34092.57403,30900,40800
Florida College Of Natural Health,73897.84104,57300,19082.80912,16200,19600
Florida Gateway College,63584.05464,52900,29554.50839,27600,32400
Florida Gulf Coast University,103619.5079,78900,43469.07603,39700,43100
Florida Institute Of Technology,117847.8296,86300,62128.01899,59600,64500
Florida International University,93458.26678,66700,52704.92415,46800,50800
Florida Memorial University,47531.41285,33400,29351.67462,29300,31100
Florida Southern College,117392.4731,85400,45938.63965,38700,42200
Florida State College At Jacksonville,79549.82851,66600,33029.80694,30100,34200
Florida State University,139113.5195,100500,55925.90263,46400,49900
Florida Technical College,48193.02297,39200,24717.29079,22800,26400
Fontbonne University,140073.892,88800,46043.60323,37300,42300
Foothill-Deanza Community College District,120318.3852,80200,42251.74621,33900,41800
Fordham University,187958.381,113300,80400.70418,63300,67000
Forsyth Technical Community College,75645.00001,67300,27207.1106,24900,28600
Fort Hays State University,81363.81813,71100,42354.00798,38500,40500
Fort Lewis College,144700.6965,90600,39080.15136,32700,36200
Fort Myers Institute Of Technology And Cape Coral Institute Of Technology,58993.71802,49800,27469.65163,21400,27500
Fort Scott Community College,64409.3005,56800,30426.53893,28600,31400
Fort Valley State University,55838.20464,45100,34139.17136,30900,33500
"Fortis College of Houston, TX",42393.37287,27900,25909.61898,23500,26100
"Fortis College of Largo, FL",58020.78367,35100,17015.69776,15800,19300
"Fortis College of Richmond, VA",53349.57326,50000,19718.53216,16500,22300
"Fortis Institute of Palm Springs, FL",46762.23718,33200,23804.21784,21800,24900
Fox College,77194.02708,70500,34451.44507,28000,36700
Fox Valley Technical College,81514.65616,74600,34466.18712,32700,35300
Francis Marion University,81505.38386,68500,38398.70995,34100,36500
Francis Tuttle Technology Center School District No. 21,72334.08814,57900,25256.186,21500,28000
Franciscan University Of Steubenville,140660.6259,102500,37497.34604,29500,39300
Franklin & Marshall College,281373.8706,162900,70874.24269,57800,61400
Franklin Career Institute,39662.84057,25100,17383.0143,14400,16100
Franklin College Of Indiana,104945.5756,85300,48019.19827,44000,45700
Franklin Pierce University,107246.193,86300,42566.34156,39100,42200
Franklin University,75003.68296,65800,44079.88905,40100,41700
Frederick Community College,101489.5237,90900,39101.99445,36500,40800
Freed Hardeman University,94981.27852,77500,41269.34849,34500,38800
Fresno Pacific University,83954.31638,71100,43699.91889,37900,43100
Friends University,101131.9606,82200,38043.03445,35000,38300
Full Sail University,118058.1271,80400,34168.81576,28700,34700
Furman University,290693.5642,156700,61112.92318,48100,52600
Gadsden State Community College,63239.81281,52000,30444.54697,25600,30400
Gallaudet University,97807.64874,71200,23026.54083,21000,26700
Galveston College,61276.83263,45600,34304.44957,30900,33300
Gannon University,97523.95604,83300,55336.58868,49000,51300
Garden City Community College,65635.43234,58000,34780.79144,32100,34900
Gardner - Webb University,102555.4919,84800,39463.61588,37200,39400
Garrett College,62906.7132,53800,36659.98977,27400,31300
Gaston College,69720.79121,63100,26628.04457,25300,29800
Gateway Community College,77593.00265,68300,33628.14764,29600,34800
Gateway Technical College,76312.43974,73100,30017.00183,26900,31000
Gavilan College,96273.36366,80500,35232.76896,29800,35800
Gene Juarez Beauty Schools,90313.84473,75600,21671.88398,17600,25100
Genesee Community College,69917.05681,64400,30779.4827,28400,32500
Geneva College,96639.69707,77800,40221.87262,37900,43000
George C. Wallace Community College,64145.9194,53600,30565.60934,25200,29200
George C. Wallace State Community College,67642.46044,58500,30428.77415,27300,32700
George Fox University,109181.3773,89000,44048.62402,39200,47100
George Mason University,128011.1365,107500,60989.62962,56500,61300
George Washington University,293372.1622,137300,80767.9887,63900,69400
Georgetown College,125551.1404,93600,55414.28785,44900,47300
Georgetown University,497298.8292,195100,127901.4868,84400,91200
Georgia College & State University,112168.4729,95100,43180.22096,40500,42700
Georgia Highlands College,84613.78906,76000,33516.13281,29900,34200
Georgia Institute Of Technology,173282.7882,126000,93211.1913,78900,83100
Georgia Military College,72456.52169,62000,31196.81469,28500,32900
Georgia Perimeter College,93271.18564,68800,31880.01012,28500,32800
Georgia Piedmont Technical College,56759.16173,47200,25391.91095,22300,26100
Georgia Southern University,108631.12,88100,44646.65927,40500,43600
Georgia Southwestern State University,80580.12965,73400,38792.12922,37400,39000
Georgia State University,108764.681,82200,44073.23457,38900,43100
Georgian Court University,117901.9835,83300,40324.28989,41000,46300
Germanna Community College,90640.63993,84600,34935.28231,33100,37200
Gettysburg College,282178.1203,138500,72430.93519,58800,62000
Glendale Career College,53849.61801,33200,24112.40303,17900,26100
Glendale Community College,60158.27255,40100,37418.35057,30500,37300
Glenville State College,59424.31267,55900,38045.20568,34300,38900
Globe University,79880.5818,72300,31164.71638,28700,31600
Gogebic Community College,102457.498,62200,33097.88721,24700,29300
Goldey-Beacom College,109674.0329,80300,47425.03676,44800,48300
Gonzaga University,202273.4586,121100,63900.04498,54900,58600
Gordon College,136055.809,95900,45134.04684,37300,43700
Gordon State College,85595.60189,74100,31157.11328,29000,32600
Goshen College,135334.0399,86900,43505.28188,37400,40200
Goucher College,174037.2533,106300,47219.43918,41800,46300
Grace College And Theological Seminary,86975.2931,73100,33705.78686,30800,37300
Graceland University,88871.24265,77200,44340.2366,39300,39900
Grambling State University,47434.05128,34300,37528.77134,30500,32300
Grand Canyon University,116612.5754,90000,40385.7123,36900,40400
Grand Rapids Community College,93852.21684,83400,33730.83512,30700,34300
Grand Valley State University,112227.0293,96400,45728.28552,41300,43900
Grand View University,84209.74992,71800,39941.6091,38900,40800
Grays Harbor College,63586.25956,58600,33292.46433,28400,33400
Grayson  County College,77281.51741,66900,35583.64565,31200,35300
Great Basin College,84606.508,77300,35697.58389,28800,36300
Great Falls College Montana State University,65062.72651,54300,27219.7871,24200,30100
Green Mountain College,123650.6112,93200,34163.99934,31200,35500
Green River Community College,99165.93143,90200,39454.26943,35900,41300
Greenfield Community College,85922.04667,69100,30408.85172,26800,31300
Greensboro College,164265.7091,95400,41493.23158,37200,39400
Greenville College,94885.63528,80000,39515.39049,33800,34500
Greenville Technical College,74384.0814,64600,28759.11746,26800,30900
Grinnell College,187666.0393,126400,57211.90311,47300,51800
Grossmont-Cuyamaca Community College District,95826.83271,77400,37289.85193,31700,37900
Guilford College,158172.9247,109900,41126.85811,36800,40600
Guilford Technical Community College,77007.34714,63000,27308.87509,24700,28900
Gulf Coast State College,65935.56538,56700,31118.80077,28300,32300
Gustavus Adolphus College,166242.1424,114000,65684.32145,53100,55800
Gwinnett Technical College,92078.10096,80600,31568.18083,28800,33100
Gwynedd Mercy University,110224.1635,94700,54652.32158,52700,55200
H. Councill Trenholm State Technical College,44264.98775,34500,26557.52601,22300,26500
Hagerstown Community College,85194.90659,71500,36957.66198,35300,38700
Halifax Community College,41218.51784,29900,23127.7148,18900,24300
Hallmark College Of Technology,56981.62574,42400,32426.05272,33200,37800
Hamilton College,333233.7669,164600,88339.8784,60300,64500
Hamline University,124200.522,94300,49351.86377,47600,48500
Hampden Sydney College,232201.7823,141200,73922.58562,59900,64000
Hampshire College,254318.3371,119300,37753.90306,31200,36600
Hampton University,97344.67409,79500,51783.39161,45900,49000
Hannibal - Lagrange University,80959.72054,71800,35227.32492,30600,34800
Hanover College,135724.4078,107800,54352.50332,46300,48300
Harcum College,104427.1543,81800,33991.99243,31200,34500
Hardin-Simmons University,105833.1686,91700,48270.90541,41600,45300
Harding University,119962.1743,98200,45678.97111,41400,45200
Harford Community College,98779.09817,90200,38108.21155,36000,40200
Harper College,112640.3616,88900,38550.0583,34600,39300
Harrington College Of Design,117790.401,89100,34600.75757,30200,35200
Harris - Stowe State University,56527.25284,45200,30845.93806,29700,31800
Harrisburg Area Community College,81773.74285,72200,33244.66444,31000,34700
Hartnell Community College,65456.23267,51800,34724.02799,30500,36100
Hartwick College,140480.093,94400,55241.05905,45900,49400
Harvard University,504991.5225,174000,170575.2404,81500,91500
Harvey Mudd College,207971.9583,139800,109616.2766,82400,87700
Hastings College,104919.0305,82700,52324.83574,45000,46500
Haverford College,299314.8135,174200,102954.6524,57200,61000
Hawaii Pacific University,97831.29033,68600,44237.55736,41100,45300
Hawkeye Community College,74256.58724,67600,36638.95863,34800,37000
Haywood Community College,62371.05748,53700,25289.03261,23300,28100
Heald College,64024.20347,52400,35981.13638,33600,38400
Heartland Community College,91340.94829,80700,33779.59238,30200,35000
Heidelberg University,91395.0708,80000,45461.4317,43000,43900
Helena College University Of Montana,70864.6746,57900,34567.737,30900,35400
Henderson State University,79010.00388,63900,40652.34253,36200,39000
Hendrix College,135000.92,107500,47781.18582,40900,45100
Henry Ford Community College,83484.62874,76600,32621.91948,27800,33200
Heritage College,68216.255,53400,21058.84421,17900,21200
Herkimer County Community College - SUNY Office Of Community Coll,66034.76562,57400,32145.91382,29200,32600
Herzing University,73344.64507,65400,37544.56444,33500,36200
Hesston College,90859.41416,66600,36618.03841,36600,38600
Hickey College,69202.98433,63700,31677.88391,34700,35500
High Point University,117876.3524,86100,48246.21301,40800,43900
"Highland Community College of Freeport, IL",70253.53714,62700,31383.01112,28500,31900
"Highland Community College of Highland, KS",75163.75316,66000,33038.72229,30800,34600
Highline Community College,84372.29568,76500,36710.01165,34700,39600
Hilbert College,73850.66203,66300,41604.86888,40200,43500
Hill College,68220.47953,58200,34121.17579,29400,35400
Hillsborough Community College,81479.61362,63700,33115.07082,30100,34100
Hinds Community College,58763.06108,43200,29310.93266,25000,28700
Hiram College,99625.80601,78900,48128.03959,43300,45400
Hobart And William Smith Colleges,260255.5165,120400,63983.20844,52700,55000
Hocking Technical College,73505.43394,63600,32204.00541,29300,33400
Hodges University,71757.28286,38300,30504.70608,26800,28400
Hofstra University,163606.0186,105300,70139.2453,55700,61100
Hohokus School - RETS/Nutley,58391.98208,41700,32511.27325,29500,35600
Hollins University,200218.982,110700,40614.92831,36400,39900
Holmes Community College,61404.02652,41500,29319.37307,25400,28800
Holy Family University,85012.39293,83200,46124.95785,46400,49300
Holyoke Community College,80086.46691,71500,33768.61468,30500,34700
Hood College,104035.5297,92600,44672.39196,45800,46900
Hope College,181251.8362,114100,55908.7929,46800,49200
Horry - Georgetown Technical College,75980.36676,51000,26447.27135,23600,26700
Houghton College,98574.10918,85300,41438.13359,35300,40700
Housatonic Community College,74346.1386,62300,33295.62922,29000,33400
Houston Baptist University,130689.765,93400,48307.1087,43100,48800
Houston Community College,71246.6805,49200,36230.81418,31400,36400
Howard Community College,119741.8271,99100,39432.71399,33700,39500
Howard County Junior College District,64821.94422,53100,35519.93272,28500,34800
Howard Payne University,89388.52991,69200,41348.65504,36800,40400
Howard University,94314.2788,76900,53337.40502,49600,53900
Hudson County Community College,44189.75578,32600,29713.96258,25100,29200
Hudson Valley Community College,83670.62141,74200,38032.5968,35300,39000
Humboldt State University,126254.5199,96000,38719.98498,35500,39600
Huntingdon College,117397.4849,87200,44034.26876,38100,40400
Huntington University,103438.3196,81400,35925.65067,29500,37900
Husson University,71795.32773,60900,37043.00236,34300,37100
Hutchinson Community College,74678.82269,67700,35533.75838,33700,36900
IBMC College,54957.64406,53200,22871.86522,22800,26100
ITI Technical College,66096.00251,56000,61562.87738,55000,58500
ITT Technical Institute,65233.37011,52600,38044.73506,35600,39400
Idaho State University,78972.44551,71500,36676.81103,29900,35300
Illinois And Ohio Center For Broadcasting,78434.73582,65800,25020.02131,24000,27800
Illinois Central College,92631.86613,82800,36186.27324,32100,35600
Illinois College,111745.7368,80900,46997.33398,41000,42300
Illinois Eastern Community Colleges - Olney Central College,61916.53266,58400,31022.6559,26200,30900
Illinois Institute Of Art ,105640.112,81500,37056.68555,33200,37400
Illinois Institute Of Technology,112794.7827,91600,77847.72805,72300,76400
Illinois School Of Health Careers,47502.23922,32200,21889.04587,16700,17600
Illinois State University,122562.728,107600,54205.73742,49000,51600
Illinois Valley Community College,78188.94099,73800,35459.59311,30000,35000
Illinois Wesleyan University,190235.5242,120900,72216.70115,58000,60600
Immaculata University,141659.1859,92700,44033.56831,43100,45900
Imperial Valley College,48809.86005,34300,31419.64231,25800,30100
Independence Community College,64570.40275,48600,31939.95352,26700,27800
Indian Hills Community College,67807.1018,59600,34836.39711,32500,36100
Indian River State College,73071.65322,54000,30725.4619,26500,31000
Indiana Institute Of Technology,76339.20816,67800,45671.019,40700,45700
Indiana State University,97236.30837,82600,42100.95629,37800,40200
Indiana University Of Pennsylvania,88550.92967,77100,41936.56807,38800,42000
Indiana University System,149041.6162,99400,50849.82359,40100,43500
Institute For Business & Technology,58626.34007,42700,29219.4282,18200,29500
Institute Of Audio Research,63625.13172,49200,27851.08647,22100,30300
Institute Of Production And Recording ,88928.35098,81700,23852.25715,23000,28600
Interactive College Of Technology,39834.22265,32900,19983.89214,15700,17100
Intercoast Colleges,44437.31844,33000,19574.11814,16900,20000
"International Academy Of Design And Technology of Chicago, IL",66851.91078,51600,26421.74612,24900,28000
"International Academy Of Design And Technology of Orlando, FL",72308.96532,50400,27345.30627,24100,28600
"International Business College of Fort Wayne, IN",67022.02309,64500,30466.93348,27000,30100
International Career Development Center,36129.47426,29500,18241.47703,16700,20700
Iona College,130628.6377,97400,65826.71274,56200,61200
Iowa Central Community College,68173.73811,64400,36216.89552,34200,36500
Iowa Lakes Community College,64542.613,55200,33150.59098,31200,33800
Iowa State University Of Science & Technology,120476.7901,92900,59765.0787,51900,54500
Iowa Western Community College,75374.67892,67100,34516.35746,32500,35400
Irvine Valley College,120056.0569,81200,36744.72466,30900,39100
Isothermal Community College,63790.32965,54600,27324.86807,25000,28600
Itawamba Community College,58231.7484,47900,30602.48121,28400,29500
Ithaca College,196699.1,117800,60694.34316,52500,54400
Ivy Tech Community College Of Indiana System,75331.12874,66000,29191.34564,25900,29600
J Sargeant Reynolds Community College,83883.47005,71300,31753.2343,29500,33500
Jackson College,79094.22596,72400,31546.14698,27800,32300
Jackson State Community College,72090.77047,63200,32946.46724,29400,32100
Jackson State University,50561.0942,37100,34712.54265,31700,33700
Jacksonville State University,76855.89479,69100,35482.28206,34300,37400
Jacksonville University,132678.0132,85000,50111.46425,43700,46700
James A. Rhodes State College,71187.31326,64200,32727.5208,30900,33100
James H. Faulkner State Community College,76158.89173,65100,30667.72406,27500,31900
James Madison University,173973.1364,134300,65469.15602,55900,59700
James Sprunt Community College,50466.63606,36700,25160.09116,21000,24700
Jamestown College,80801.12534,75200,50755.76604,43100,46300
Jamestown Community College,66000.86933,59600,30463.11024,27600,31300
Jefferson College,79973.66224,75400,35365.33403,32500,35700
Jefferson Community And Technical College,76259.73919,69100,30765.9645,28300,32100
Jefferson Community College,65559.48715,56800,32183.57436,28400,32600
Jefferson Davis Community College,56457.80564,35800,28056.0702,20400,25200
Jefferson State Community College,91962.81782,76200,30910.37971,27900,33400
John A. Logan College,72589.1473,61100,29287.61556,23600,27300
John Brown University,115449.0774,86800,44789.43646,35300,42000
John Carroll University,166976.4437,101500,66381.48425,54500,59000
John Tyler Community College,88274.30649,79900,32235.28361,29900,33700
John Wood Community College,68192.78567,61400,31481.33531,28200,29900
"John, Castleton And Lyndon State Colleges And Community College Of Vermont",84669.64314,68400,31879.14747,29900,33300
Johns Hopkins University,285199.6829,142300,105184.7593,75000,80600
Johnson & Wales University,109336.6145,75100,39040.14824,35200,38500
Johnson College,64881.88214,55700,35353.52107,34000,39000
Johnson County Community College,113411.8889,91100,36175.50517,32500,36400
Johnson University,89472.16508,82000,29699.27815,29400,33500
Johnston Community College,66438.27051,60200,26951.53773,25400,29800
